index	country	country_code	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	last.observed
158	Slovakia	703	3.5022	3.2427	2.911	2.541	2.5067	2.464	2.271	2.1537	1.8667	1.401	1.2205	1.31	1.3677	1.4574	1.5161	1.5678	1.6122	1.6484	1.6801	1.7078	1.7311	1.7507	1.7688	1.7845	1.7995	1.8096	1.8189	1.8294	1.8365	1.8445	2013
159	Slovenia	705	2.68	2.3833	2.3354	2.265	2.1999	2.1632	1.928	1.6517	1.3335	1.2483	1.2114	1.3841	1.5766	1.5534	1.6001	1.6404	1.6753	1.706	1.7312	1.7531	1.7699	1.7857	1.7999	1.8114	1.8238	1.8314	1.8405	1.8475	1.8532	1.8581	2013
160	Somalia	706	7.25	7.25	7.25	7.25	7.1	7	7.071	7.258	7.531	7.698	7.442	7.102	6.6098	6.0989	5.6021	5.1302	4.6927	4.2957	3.9402	3.6324	3.3664	3.1401	2.9465	2.7827	2.6379	2.5095	2.3938	2.2946	2.2086	2.141	2013
161	South Africa	710	6.3	6.2	6.1	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55	2.4037	2.2795	2.1758	2.0874	2.012	1.9538	1.9065	1.8728	1.8478	1.8315	1.8213	1.817	1.8135	1.8147	1.8179	1.8224	1.8277	1.833	2013
162	Zimbabwe	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.2	4.01	3.9	3.5114	3.2021	2.9552	2.7438	2.5693	2.4145	2.283	2.1669	2.0717	1.9971	1.9395	1.8971	1.8688	1.849	1.8365	1.8311	1.8292	1.8296	2013
163	Spain	724	2.53	2.7	2.81	2.84	2.85	2.55	1.88	1.46	1.28	1.19	1.29	1.3904	1.3211	1.5676	1.6248	1.6718	1.7087	1.7412	1.7679	1.7877	1.8052	1.8193	1.834	1.8428	1.8537	1.8614	1.8678	1.8735	1.8782	1.8828	2013
164	South Sudan	728	6.65	6.7	6.75	6.85	6.9	6.92	6.783	6.83	6.65	6.42	6	5.6	5.15	4.5374	4.1495	3.8008	3.5016	3.2475	3.0373	2.8573	2.7029	2.5675	2.4486	2.3416	2.2525	2.1717	2.1078	2.0551	2.0104	1.9768	2013
165	Sudan	729	6.65	6.65	6.75	6.861	6.9	6.92	6.63	6.3	6	5.63	5.25	4.83	4.4568	4.1223	3.8202	3.5531	3.3226	3.122	2.9513	2.8062	2.6738	2.5576	2.4528	2.3618	2.2788	2.2015	2.1379	2.0844	2.0414	2.0051	2013
166	Western Sahara	732	6.342	6.424	6.534	6.6	6.5732	6.234	5.3321	4.537	3.961	3.1834	2.813	2.443	2.2043	2.2214	2.0876	1.9783	1.8937	1.8333	1.7912	1.7649	1.753	1.7528	1.7547	1.7605	1.7711	1.7809	1.7935	1.803	1.814	1.8245	2013
167	Suriname	740	6.56	6.56	6.56	5.945	5.289	4.203	3.7	3.4152	3.1576	2.9195	2.7115	2.5383	2.3998	2.1627	2.0646	1.987	1.9291	1.8864	1.8594	1.8412	1.8316	1.8272	1.8269	1.8285	1.8327	1.8373	1.8434	1.8493	1.8544	1.8596	2013
